prod_id,supplier_name,ean_upc,path(en),timestamp,Your product ID,error_message
RN31843E-100NES,Netgear,4058829166458|0606449112276,https://data.icecat.biz/export/level4/EN/30373069.xml,44154.39971,607620,
RMSP3CD080F,Intel,5032037095259|0675901436250|0735858329132,https://data.icecat.biz/export/level4/EN/37424418.xml,44220.97929,607615,
RN31664E-100EUS,Netgear,0606449094848|6064490948482,https://data.icecat.biz/export/level4/EN/17839757.xml,43630.53572,607618,
RMSP3JD160J,Intel,5032037095235|0735858329118,https://data.icecat.biz/export/level4/EN/37424414.xml,44220.97929,607617,
RMSP3HD080E,Intel,5032037095242|0675901436724|0735858329125,https://data.icecat.biz/export/level4/EN/37424413.xml,44220.97929,607616,
RMS3CC080,Intel,0675901267175|7358582768324|4053162938199|5032037060448|0735858276832|0675901777995,https://data.icecat.biz/export/level4/EN/24357453.xml,44220.97885,607612,
RMSP3AD160F,Intel,5032037095266|0675901436717|0735858329149,https://data.icecat.biz/export/level4/EN/37424419.xml,44220.97929,607614,
RMS3JC080,Intel,0675901254663|7358582768256|5032037060431|0640017457765|6953041340182|0735858276825,https://data.icecat.biz/export/level4/EN/24357456.xml,44220.97885,607613,
RMS25PB080,Intel,0675901175234|0675901190633|7358582389468|6759011906330|6759011244548|5052916752127|5032037033725|0001910319121|0132018235706|0809392581247|6953041345545|0809199908025|0745449874897|0587010658693|0735858238946,https://data.icecat.biz/export/level4/EN/13104916.xml,44153.6535,607609,
RMS3CC040,Intel,0675901255837|7358582768492|5032037060455|6953041344760|0735858276849,https://data.icecat.biz/export/level4/EN/24357454.xml,44220.97885,607611,
RMS3AC160,Intel,5032037081337|0735858308571,https://data.icecat.biz/export/level4/EN/32432856.xml,44166.24943,607610,
RMS25PB040,Intel,0675901124447|0675901192057|0132017813127|7358582389536|5032037033732|4058154339503|0735858238953,https://data.icecat.biz/export/level4/EN/13104915.xml,44153.6535,607608,
RMS25KB040,Intel,0675901124287|0675901187756|0807320191216|0088698399682|5032037033817|7358582390358|0631894817117|0745449863051|6953041337403|0102930697654|0686415288433|0172302674163|0809185319163|0809385168394|0191120068503|0735858239035,https://data.icecat.biz/export/level4/EN/13104913.xml,44153.6535,607607,
RMEM04-10000S,Netgear,6.06449E+11,https://data.icecat.biz/export/level4/EN/33276529.xml,44141.40818,607603,
RMEM03-10000S,Netgear,0606449097160|6064490971602,https://data.icecat.biz/export/level4/EN/21084550.xml,44141.40813,607602,
RMEM02-10000S,Netgear,0606449097177|6064490971770|4058829166267,https://data.icecat.biz/export/level4/EN/21084972.xml,44141.40813,607601,
RJN-00026,Microsoft,8.89843E+11,https://data.icecat.biz/export/level4/EN/74989432.xml,44266.62117,607593,
RJR-00002,Microsoft,8.89843E+11,https://data.icecat.biz/export/level4/EN/85761305.xml,44165.6974,607595,
RJN-00038,Microsoft,8.89843E+11,https://data.icecat.biz/export/level4/EN/74989459.xml,44266.62117,607594,
RHC67,DELL,5.39718E+12,https://data.icecat.biz/export/level4/EN/80509882.xml,44266.36407,607590,
RJN-00014,Microsoft,8.89843E+11,https://data.icecat.biz/export/level4/EN/74989463.xml,44266.62117,607592,
RJN-00002,Microsoft,8.89843E+11,https://data.icecat.biz/export/level4/EN/74989430.xml,44266.62117,607591,
RES3TV360,Intel,0675901257503|7358582873646|5032037067102|0735858287364,https://data.icecat.biz/export/level4/EN/24482477.xml,44153.6535,607587,
RES3FV288,Intel,0675901257510|7358582875480|0007358582875|0010343844865|5032037067287|5032037067294|0735858287555|0735858287548,https://data.icecat.biz/export/level4/EN/24396780.xml,44252.61846,607586,
REB42808SPBJ,Eaton,7.99039E+11,https://data.icecat.biz/export/level4/EN/32834244.xml,43254.75679,607584,
REB42808SPBE,Eaton,7.99039E+11,https://data.icecat.biz/export/level4/EN/22774842.xml,44022.51535,607583,
REB42808NPBE,Eaton,7.99039E+11,https://data.icecat.biz/export/level4/EN/22774840.xml,44022.51517,607582,
REB27808SPBJ,Eaton,7.99039E+11,https://data.icecat.biz/export/level4/EN/32834241.xml,43254.75679,607580,
REB27808SPBE,Eaton,7.99039E+11,https://data.icecat.biz/export/level4/EN/22774838.xml,44022.51543,607579,
REB27608SPBE,Eaton,7.99039E+11,https://data.icecat.biz/export/level4/EN/22774837.xml,44022.51541,607577,
REA42810SPBJ,Eaton,7.99039E+11,https://data.icecat.biz/export/level4/EN/32834229.xml,43254.75681,607574,
REA47610SPBJ,Eaton,,https://data.icecat.biz/export/level4/EN/32834231.xml,43254.75681,607575,
REA42810SPBE,Eaton,7.99039E+11,https://data.icecat.biz/export/level4/EN/22774836.xml,44022.51525,607573,
REA42810NPBE,Eaton,7.99039E+11,https://data.icecat.biz/export/level4/EN/22772943.xml,44022.51546,607572,
REA42808NPBE,Eaton,7.99039E+11,https://data.icecat.biz/export/level4/EN/22772941.xml,44022.51529,607571,
REA42612SPBJ,Eaton,,https://data.icecat.biz/export/level4/EN/32834228.xml,43254.75681,607570,
REA42610SPBE,Eaton,0799038547204|5415247003991|0799038547143,https://data.icecat.biz/export/level4/EN/22772940.xml,44022.51546,607569,
REA42610SKBE,Eaton,0799038547327|5415247009627,https://data.icecat.biz/export/level4/EN/22774834.xml,44022.51551,607568,
REA42608SPBE,Eaton,0799038547174|5415247020356|7330381127731,https://data.icecat.biz/export/level4/EN/22774833.xml,44022.51517,607566,
REA42610NPBE,Eaton,7.99039E+11,https://data.icecat.biz/export/level4/EN/22772939.xml,44022.51521,607567,
REA42608NPBE,Eaton,7.99039E+11,https://data.icecat.biz/export/level4/EN/22774831.xml,44022.51547,607565,
REA27610SPBE,Eaton,0799038546931|0799038502371,https://data.icecat.biz/export/level4/EN/22772938.xml,44022.5152,607561,
REA27808SPBE,Eaton,7.99039E+11,https://data.icecat.biz/export/level4/EN/22774830.xml,44022.51537,607562,
REA27810SPBE,Eaton,7.99039E+11,https://data.icecat.biz/export/level4/EN/24224765.xml,44022.51594,607563,
